持仓周期,方法,IR,Net IR,日均换手率
1日,Baseline,0.7808 (0.0%),0.6679 (0.0%),0.9297 (0.0%)
1日,本文方法,0.9200 (0.0%),0.8900 (0.0%),0.9015 (0.0%)
5日,Baseline,0.6331 (18.9%),0.5925 (11.3%),0.7407 (20.3%)
5日,本文方法,0.9000 (2.2%),0.8100 (9.0%),0.7580 (15.9%)
10日,Baseline,0.6163 (21.1%),0.5537 (17.1%),0.5251 (43.5%)
10日,本文方法,0.8500 (7.6%),0.7700 (13.5%),0.5631 (37.5%)
20日,Baseline,0.5107 (34.6%),0.4208 (37.0%),0.3420 (63.2%)
20日,本文方法,0.7600 (17.4%),0.7500 (15.7%),0.3495 (61.2%)
