持仓周期,方法,IR衰减率,Net IR衰减率,日均换手率衰减率
1日,Baseline,0.0%,0.0%,0.0%
1日,本文方法,0.0%,0.0%,0.0%
5日,Baseline,18.9%,11.3%,20.3%
5日,本文方法,2.2%,9.0%,15.9%
10日,Baseline,21.1%,17.1%,43.5%
10日,本文方法,7.6%,13.5%,37.5%
20日,Baseline,34.6%,37.0%,63.2%
20日,本文方法,17.4%,15.7%,61.2%
