method,factor_type,factor_name,train_q_value,holding_period,rank_ic,icir,raw_ir,net_ir,daily_turnover,portfolio_turnover,annual_return,tracking_error,info_retention,ic_half_life
debate,动量因子,stable_volume_confirmed_momentum_v3,5.6579999999999995,20D,-0.0441,-0.4096,-0.0917,-0.1176,0.1166,0.1045,-0.007,0.0761,404.67,40.0
debate,动量因子,normalized_volume_weighted_momentum_v2,5.636,1D,0.0335,0.1774,2.0009,1.838,0.019,0.0698,0.3239,0.1619,100.0,40.0
debate,动量因子,normalized_volume_weighted_momentum_v2,5.636,5D,0.0536,0.2689,1.5242,1.4935,0.019,0.0698,0.2618,0.1718,159.93,40.0
debate,动量因子,normalized_volume_weighted_momentum_v2,5.636,10D,0.0697,0.3443,1.5824,1.5671,0.019,0.0698,0.2724,0.1721,207.96,40.0
debate,动量因子,normalized_volume_weighted_momentum_v2,5.636,20D,0.1039,0.551,1.658,1.6502,0.019,0.0698,0.2804,0.1691,310.0,40.0
debate,动量因子,normalized_volume_weighted_momentum_v3,5.622,1D,0.036,0.1759,1.7798,1.6448,0.0181,0.0606,0.3019,0.1696,100.0,40.0
debate,动量因子,normalized_volume_weighted_momentum_v3,5.622,5D,0.0525,0.2465,1.5027,1.4769,0.0181,0.0606,0.2664,0.1773,146.06,40.0
debate,动量因子,normalized_volume_weighted_momentum_v3,5.622,10D,0.0656,0.2928,1.3984,1.3862,0.0181,0.0606,0.2619,0.1873,182.22,40.0
debate,动量因子,normalized_volume_weighted_momentum_v3,5.622,20D,0.0719,0.3054,0.9333,0.9276,0.0181,0.0606,0.1862,0.1995,199.94,40.0
baseline,价值因子,stable_vwap_deviation_rank_enhanced,5.422,1D,0.0076,0.0499,-0.1482,-0.462,0.0357,0.0998,-0.0178,0.1202,100.0,3.6
baseline,价值因子,stable_vwap_deviation_rank_enhanced,5.422,5D,0.0018,0.0131,-0.3331,-0.4002,0.0357,0.0998,-0.0374,0.1124,23.13,3.6
baseline,价值因子,stable_vwap_deviation_rank_enhanced,5.422,10D,0.0026,0.0212,-0.124,-0.1595,0.0357,0.0998,-0.0132,0.1066,34.1,3.6
baseline,价值因子,stable_vwap_deviation_rank_enhanced,5.422,20D,0.0138,0.0991,-0.1034,-0.1184,0.0357,0.0998,-0.013,0.1261,181.52,3.6
baseline,价值因子,stable_vwap_deviation_rank_enhanced_v2,5.422,1D,0.0105,0.0709,0.8161,0.6157,0.0087,0.0729,0.1123,0.1375,100.0,40.0
baseline,价值因子,stable_vwap_deviation_rank_enhanced_v2,5.422,5D,0.0209,0.1544,0.4099,0.3689,0.0087,0.0729,0.0552,0.1346,198.82,40.0
baseline,价值因子,stable_vwap_deviation_rank_enhanced_v2,5.422,10D,0.0202,0.152,0.0003,-0.019,0.0087,0.0729,0.0,0.143,191.5,40.0
baseline,价值因子,stable_vwap_deviation_rank_enhanced_v2,5.422,20D,-0.0148,-0.0915,-0.8018,-0.8099,0.0087,0.0729,-0.1365,0.1703,-140.31,40.0
baseline,价值因子,stable_vwap_deviation_rank_enhanced,5.01,1D,-0.0101,-0.0957,-1.8921,-2.4797,0.0434,0.1451,-0.1766,0.0933,100.0,19.7
baseline,价值因子,stable_vwap_deviation_rank_enhanced,5.01,5D,-0.0272,-0.2783,-1.9034,-2.0302,0.0434,0.1451,-0.1647,0.0865,269.94,19.7
baseline,价值因子,stable_vwap_deviation_rank_enhanced,5.01,10D,-0.0185,-0.2027,-1.3694,-1.4391,0.0434,0.1451,-0.1078,0.0787,183.22,19.7
